City,State,Year,Anti-Jewish,Anti-Islamic,Full,clean,lat,long
Ascension,LA,2012,0,0,Louisiana,"ascension, louisiana",30.2017295,-90.9438468
Ascension,LA,2013,1,0,Louisiana,"ascension, louisiana",30.2017295,-90.9438468
Ascension,LA,2014,0,0,Louisiana,"ascension, louisiana",30.2017295,-90.9438468
Ascension,LA,2015,0,0,Louisiana,"ascension, louisiana",30.2017295,-90.9438468
Calcasieu,LA,2010,0,0,Louisiana,"calcasieu, louisiana",30.2089286,-93.3388917
Calcasieu,LA,2011,0,0,Louisiana,"calcasieu, louisiana",30.2089286,-93.3388917
Calcasieu,LA,2012,0,0,Louisiana,"calcasieu, louisiana",30.2089286,-93.3388917
Calcasieu,LA,2013,0,1,Louisiana,"calcasieu, louisiana",30.2089286,-93.3388917
Calcasieu,LA,2014,0,0,Louisiana,"calcasieu, louisiana",30.2089286,-93.3388917
Calcasieu,LA,2015,0,1,Louisiana,"calcasieu, louisiana",30.2089286,-93.3388917
Austin,TX,2010,0,0,Texas,"austin, texas",30.267593,-97.742988
Austin,TX,2011,1,0,Texas,"austin, texas",30.267593,-97.742988
Austin,TX,2012,2,0,Texas,"austin, texas",30.267593,-97.742988
Austin,TX,2013,0,0,Texas,"austin, texas",30.267593,-97.742988
Austin,TX,2014,0,1,Texas,"austin, texas",30.267593,-97.742988
Austin,TX,2015,0,2,Texas,"austin, texas",30.267593,-97.742988
Pensacola,FL,2010,0,0,Florida,"pensacola, florida",30.421309,-87.2169149
Pensacola,FL,2011,0,0,Florida,"pensacola, florida",30.421309,-87.2169149
Pensacola,FL,2012,0,0,Florida,"pensacola, florida",30.421309,-87.2169149
Pensacola,FL,2013,0,0,Florida,"pensacola, florida",30.421309,-87.2169149
Pensacola,FL,2014,0,1,Florida,"pensacola, florida",30.421309,-87.2169149
Pensacola,FL,2015,0,0,Florida,"pensacola, florida",30.421309,-87.2169149
Round Rock,TX,2010,0,0,Texas,"round rock, texas",30.509042,-97.677217
Round Rock,TX,2011,0,0,Texas,"round rock, texas",30.509042,-97.677217
Round Rock,TX,2012,2,0,Texas,"round rock, texas",30.509042,-97.677217
